Frequency_Hz	H1_abs	H2_abs	Coherence
3.19488818e-01	1.32970341e-01	8.89217258e-01	1.49536392e-01
3.26434227e-01	1.33561751e-01	5.36136657e-01	2.49118856e-01
3.33379636e-01	7.62370698e-02	4.35559924e-01	1.75032333e-01
3.40325045e-01	2.94593480e-02	7.82034130e-01	3.76701565e-02
3.47270454e-01	3.07722506e-02	5.53609778e-01	5.55847311e-02
3.54215863e-01	2.67998617e-02	5.28114275e-01	5.07463308e-02
3.61161272e-01	1.38102051e-02	1.09510603e+00	1.26108384e-02
3.68106681e-01	3.17502696e-02	3.45604192e-01	9.18688786e-02
3.75052091e-01	2.57823189e-02	3.62638215e-01	7.10965306e-02
3.81997500e-01	1.08530152e-02	6.84521176e-01	1.58549007e-02
3.88942909e-01	1.95464578e-02	3.95947351e-01	4.93663053e-02
3.95888318e-01	4.99369020e-03	1.19125603e+00	4.19195378e-03
4.02833727e-01	5.38091771e-03	8.25477909e-01	6.51854841e-03
4.09779136e-01	7.96974107e-03	5.00495857e-01	1.59236904e-02
4.16724545e-01	1.40996535e-02	2.68272089e-01	5.25572883e-02
4.23669954e-01	1.22807665e-02	2.03477341e-01	6.03544672e-02
4.30615363e-01	4.10357328e-03	2.60957472e-01	1.57250653e-02
4.37560772e-01	1.46186622e-02	7.08882499e-02	2.06221231e-01
4.44506181e-01	1.04405560e-02	1.16318357e-01	8.97584550e-02
4.51451590e-01	5.45584561e-03	1.93227580e-01	2.82353358e-02
4.58397000e-01	5.03469929e-03	1.69559390e-01	2.96928367e-02
4.65342409e-01	1.03554897e-02	8.65498415e-02	1.19647703e-01
4.72287818e-01	1.79025152e-02	6.51950845e-02	2.74599156e-01
4.79233227e-01	1.70039162e-02	5.68431719e-02	2.99137356e-01
4.86178636e-01	7.22947485e-03	1.02516701e-01	7.05199715e-02
4.93124045e-01	1.20000719e-02	9.48561299e-02	1.26508133e-01
5.00069454e-01	3.14145445e-02	6.26334968e-02	5.01561403e-01
5.07014863e-01	1.92057636e-02	7.39017788e-02	2.59882291e-01
5.13960272e-01	1.15131150e-02	7.92104398e-02	1.45348454e-01
5.20905681e-01	1.24857531e-02	5.56623714e-02	2.24312273e-01
5.27851090e-01	6.88629072e-03	8.81154053e-02	7.81508148e-02
5.34796500e-01	8.54861561e-03	5.29612021e-02	1.61412794e-01
5.41741909e-01	6.36944361e-03	5.46374106e-02	1.16576601e-01
5.48687318e-01	5.16558159e-03	1.08621917e-01	4.75556105e-02
5.55632727e-01	7.15439511e-03	9.21786185e-02	7.76144754e-02
5.62578136e-01	8.23970858e-03	7.37374711e-02	1.11743846e-01
5.69523545e-01	9.59794463e-03	5.26165925e-02	1.82412889e-01
5.76468954e-01	5.90156070e-04	6.48371149e-01	9.10213342e-04
5.83414363e-01	3.96370250e-03	1.29780825e-01	3.05415111e-02
5.90359772e-01	7.07703872e-03	8.52772460e-02	8.29885937e-02
5.97305181e-01	1.07031431e-02	4.10312230e-02	2.60853621e-01
6.04250590e-01	7.71384362e-03	3.88178850e-02	1.98718802e-01
6.11195999e-01	1.36714696e-02	3.83505569e-02	3.56486859e-01
6.18141409e-01	1.19219719e-02	4.12428233e-02	2.89067794e-01
6.25086818e-01	5.50610640e-03	6.48692326e-02	8.48800916e-02
6.32032227e-01	6.72889241e-03	4.29480614e-02	1.56675114e-01
6.38977636e-01	4.99734605e-03	6.63429797e-02	7.53259210e-02
6.45923045e-01	5.02797908e-03	6.28959247e-02	7.99412538e-02
6.52868454e-01	8.49909922e-03	3.28795926e-02	2.58491622e-01
6.59813863e-01	7.27031413e-03	2.89655795e-02	2.50998401e-01
6.66759272e-01	9.33212676e-03	2.24064656e-02	4.16492585e-01
6.73704681e-01	1.00256634e-02	2.10884581e-02	4.75409979e-01
6.80650090e-01	9.44564420e-03	1.70066818e-02	5.55407829e-01
6.87595499e-01	1.13314832e-02	1.79739149e-02	6.30440464e-01
6.94540908e-01	1.23549904e-02	2.18715752e-02	5.64888003e-01
7.01486318e-01	1.42948160e-02	2.12020385e-02	6.74218944e-01
7.08431727e-01	1.60463341e-02	2.34518793e-02	6.84223803e-01
7.15377136e-01	1.18321504e-02	2.24327708e-02	5.27449354e-01
7.22322545e-01	1.26554422e-02	2.04511260e-02	6.18813955e-01
7.29267954e-01	1.70796062e-02	2.23151182e-02	7.65382734e-01
7.36213363e-01	1.77490371e-02	2.39184665e-02	7.42064174e-01
7.43158772e-01	1.59026765e-02	2.80535626e-02	5.66868342e-01
7.50104181e-01	1.25278449e-02	2.71202202e-02	4.61937432e-01
7.57049590e-01	1.52550786e-02	2.58052680e-02	5.91161409e-01
7.63994999e-01	1.44300250e-02	2.51164189e-02	5.74525575e-01
7.70940408e-01	1.59855530e-02	2.30982344e-02	6.92068178e-01
7.77885817e-01	1.53359321e-02	2.20395130e-02	6.95838065e-01
7.84831227e-01	1.70834037e-02	2.29989807e-02	7.42789603e-01
7.91776636e-01	2.08290825e-02	2.59130503e-02	8.03806665e-01
7.98722045e-01	2.15407170e-02	2.55336758e-02	8.43619900e-01
8.05667454e-01	1.83702771e-02	2.36547223e-02	7.76600834e-01
8.12612863e-01	1.64645075e-02	2.37363747e-02	6.93640357e-01
8.19558272e-01	1.00547241e-02	2.11926912e-02	4.74443003e-01
8.26503681e-01	8.62768313e-03	1.83028602e-02	4.71384419e-01
8.33449090e-01	1.18961636e-02	1.98532219e-02	5.99205695e-01
8.40394499e-01	1.68113779e-02	2.45907002e-02	6.83647791e-01
8.47339908e-01	2.66032936e-02	3.15860223e-02	8.42248932e-01
8.54285317e-01	3.31451091e-02	3.65212787e-02	9.07556094e-01
8.61230726e-01	2.92017508e-02	3.34149731e-02	8.73912146e-01
8.68176136e-01	2.54950088e-02	2.87505327e-02	8.86766483e-01
8.75121545e-01	2.82693945e-02	3.11129123e-02	9.08606505e-01
8.82066954e-01	3.10759807e-02	3.30565880e-02	9.40084340e-01
8.89012363e-01	2.77731593e-02	2.96281245e-02	9.37391744e-01
8.95957772e-01	2.79512066e-02	2.94620663e-02	9.48718475e-01
9.02903181e-01	3.11156170e-02	3.27720160e-02	9.49456907e-01
9.09848590e-01	3.38481725e-02	3.52764199e-02	9.59512690e-01
9.16793999e-01	3.41939805e-02	3.55760579e-02	9.61151475e-01
9.23739408e-01	3.35914271e-02	3.55960179e-02	9.43684971e-01
9.30684817e-01	3.56205528e-02	3.72614490e-02	9.55962632e-01
9.37630226e-01	3.67376157e-02	3.79322091e-02	9.68507148e-01
9.44575636e-01	3.67305332e-02	3.83235388e-02	9.58432710e-01
9.51521045e-01	3.49691070e-02	3.65055770e-02	9.57911363e-01
9.58466454e-01	3.55641694e-02	3.71307581e-02	9.57808867e-01
9.65411863e-01	3.96610324e-02	4.07968316e-02	9.72159620e-01
9.72357272e-01	4.39130484e-02	4.50270904e-02	9.75258406e-01
9.79302681e-01	4.43454548e-02	4.53033411e-02	9.78856167e-01
9.86248090e-01	4.33196855e-02	4.39123670e-02	9.86503084e-01
9.93193499e-01	4.57491737e-02	4.64971744e-02	9.83912986e-01
1.00013891e+00	4.62664501e-02	4.74357411e-02	9.75350000e-01
