Force;Acc4;
-0.788926;1.065405;
-0.648276;0.983830;
-0.505119;0.898990;
-0.359941;0.811188;
-0.213234;0.720739;
-0.065498;0.627965;
0.082763;0.533196;
0.231041;0.436769;
0.378827;0.339027;
0.525613;0.240314;
0.670890;0.140979;
0.814159;0.041374;
0.954921;-0.058152;
1.092687;-0.157250;
1.226978;-0.255570;
1.357325;-0.352770;
1.483271;-0.448509;
1.604376;-0.542455;
1.720212;-0.634279;
1.830371;-0.723664;
1.934464;-0.810299;
2.032122;-0.893885;
2.122997;-0.974135;
2.206764;-1.050772;
2.283122;-1.123534;
2.351798;-1.192172;
2.412542;-1.256455;
2.465131;-1.316163;
2.509373;-1.371096;
2.545103;-1.421070;
2.572185;-1.465920;
2.590514;-1.505498;
2.600014;-1.539675;
